День,Час,Висота хмар,Дальн. видим.,Хмарн.,Вітер,Швидк. Вітру,Темп. пов.,Точка роси,Тиск станц.,Тиск моря,Опад,Час,Явища погоди,Tmax,Tmin,Волог.,Темп. комф.,Хмари,Nхмар,Висота хмар
4,0:00,,,8,,2 м/с,18°,,756,,,,небо без змін,,,71%,+18°,,,
4,3:00,,,5,,1 м/с,17.5°,,756,,,,небо без змін,,,63%,+17.5°,,,
4,6:00,,,8,,0 м/с,17.4°,,756,,,,,,,72%,+17.4°,,,
4,9:00,,,8,,2 м/с,21.3°,,755,,,,,,,49%,+24.2°,,,
4,12:00,,,7,,4 м/с,22.8°,,756,,,,,,,52%,+26.6°,,,
4,15:00,,,8,,3 м/с,20.4°,,756,,,,зливовий дощ слабкий,,,79%,+21.5°,,,
4,18:00,,,7,,2 м/с,23.6°,,756,,,,небо без змін,,,47%,+25.3°,,,
4,21:00,,,8,,1 м/с,21°,,756,,,,небо без змін,,,55%,+24.2°,,,
5,0:00,,,2,,1 м/с,19.9°,,755,,,,,,,45%,+19.9°,,,
5,3:00,,,2,,2 м/с,18.1°,,755,,,,,,,45%,+18.1°,,,
5,6:00,,,3,,2 м/с,18°,,755,,,,,,,44%,+18°,,,
5,9:00,,,3,,2 м/с,21.3°,,756,,,,,,,37%,+23.3°,,,
5,12:00,,,2,,4 м/с,26.3°,,757,,,,,,,30%,+28.9°,,,
5,15:00,,,6,,5 м/с,28°,,757,,,,,,,30%,+27.1°,,,
5,18:00,,,6,,3 м/с,25.9°,,757,,,,,,,31%,+25.8°,,,
5,21:00,,,7,,2 м/с,23.8°,,758,,,,,,,38%,+26.7°,,,
6,0:00,,,3,,3 м/с,23.2°,,758,,,,,,,38%,+25.9°,,,
6,3:00,,,0,,3 м/с,21.5°,,759,,,,,,,43%,+24°,,,
6,6:00,,,2,,2 м/с,18.6°,,759,,,,,,,53%,+18.6°,,,
6,9:00,,,6,,3 м/с,21.8°,,760,,,,,,,36%,+23.9°,,,
6,12:00,,,6,,4 м/с,27.1°,,761,,,,,,,28%,+29.6°,,,
6,15:00,,,5,,4 м/с,28.3°,,760,,,,,,,25%,+27.1°,,,
6,18:00,,,2,,3 м/с,27.3°,,760,,,,,,,29%,+26.6°,,,
6,21:00,,,2,,2 м/с,21.1°,,762,,,,,,,33%,+22.8°,,,
7,0:00,,,0,,2 м/с,18.5°,,762,,,,,,,33%,+18.5°,,,
7,3:00,,,0,,2 м/с,15.9°,,762,,,,,,,37%,+15.9°,,,
7,6:00,,,0,,2 м/с,15.2°,,762,,,,,,,39%,+15.2°,,,
7,9:00,,,0,,3 м/с,19.1°,,763,,,,,,,40%,+19.1°,,,
7,12:00,,,0,,5 м/с,24°,,762,,,,,,,33%,+26.4°,,,
7,15:00,,,0,,5 м/с,26.7°,,761,,,,,,,21%,+25.9°,,,
7,18:00,,,2,,3 м/с,25.3°,,761,,,,,,,29%,+25.5°,,,
7,21:00,,,0,,1 м/с,18.5°,,761,,,,,,,35%,+18.5°,,,
8,0:00,,,0,,1 м/с,16.4°,,761,,,,,,,36%,+16.4°,,,
8,3:00,,,0,,2 м/с,16.8°,,760,,,,,,,33%,+16.8°,,,
8,6:00,,,6,,3 м/с,16.7°,,760,,,,,,,34%,+16.7°,,,
8,9:00,,,5,,3 м/с,18.5°,,760,,,,,,,40%,+18.5°,,,
8,12:00,,,4,,6 м/с,24.3°,,759,,,,,,,28%,+26.2°,,,
8,15:00,,,6,,5 м/с,26.5°,,759,,,,,,,20%,+25.8°,,,
8,18:00,,,6,,3 м/с,25.5°,,758,,,,,,,25%,+25.4°,,,
8,21:00,,,5,,1 м/с,20.9°,,759,,,,,,,32%,+22.5°,,,
9,0:00,,,8,,1 м/с,20.1°,,758,,,,,,,32%,+21.5°,,,
9,3:00,,,8,,1 м/с,19.5°,,757,,,,,,,32%,+19.5°,,,
9,6:00,,,8,,2 м/с,19.3°,,757,,,,,,,42%,+19.3°,,,
9,9:00,,,8,,2 м/с,19.5°,,757,,,,,,,50%,+19.5°,,,
9,12:00,,,6,,3 м/с,23.7°,,756,,,,,,,38%,+26.5°,,,
9,15:00,,,8,,2 м/с,24.8°,,755,,,,,,,43%,+25.7°,,,
9,18:00,,,6,,1 м/с,25.1°,,754,,,,,,,45%,+25.9°,,,
9,21:00,,,4,,2 м/с,20.1°,,754,,,,,,,58%,+23.1°,,,
10,0:00,,,6,,0 м/с,18.5°,,753,,,,зірниця,,,70%,+18.5°,,,
10,3:00,,,8,,2 м/с,18.6°,,752,,,,зірниця,,,89%,+18.6°,,,
10,6:00,,,8,,2 м/с,17.4°,,752,,,,серпанок,,,90%,+17.4°,,,
10,9:00,,,8,,2 м/с,19.2°,,752,,,,,,,74%,+19.2°,,,
10,12:00,,,8,,1 м/с,21.8°,,752,,,,,,,66%,+26.3°,,,
10,15:00,,,6,,2 м/с,26.7°,,751,,,,,,,52%,+27.3°,,,
10,18:00,,,7,,2 м/с,26.1°,,751,,,,,,,56%,+26.9°,,,
10,21:00,,,6,,1 м/с,21°,,752,,,,,,,85%,+26.4°,,,
